emoji_name,count,emoji_url
haku-sway2,-1,https://emoji.slack-edge.com/T0XNJNF35/haku-sway2/1a9b6100530f4986.gif
hamster-wheel,2,https://emoji.slack-edge.com/T0XNJNF35/hamster-wheel/c0dfcfeed8457a5b.gif
happycry,4,https://emoji.slack-edge.com/T0XNJNF35/happycry/c6aae832a92bcece.png
hattip,14,https://emoji.slack-edge.com/T0XNJNF35/hattip/e3d78614674f1e55.png
hax,-1,https://emoji.slack-edge.com/T0XNJNF35/hax/a3fba6c141f5b88c.gif
head-bang,-1,https://emoji.slack-edge.com/T0XNJNF35/head-bang/225a3582bc262dfd.gif
heads-down,-1,https://emoji.slack-edge.com/T0XNJNF35/heads-down/ead4780f40a0ac6d.png
heart-on-fire,6,https://emoji.slack-edge.com/T0XNJNF35/heart-on-fire/58173253b9141961.png
heartache,-1,https://emoji.slack-edge.com/T0XNJNF35/heartache/777539cacabe718c.png
hedberg,1,https://emoji.slack-edge.com/T0XNJNF35/hedberg/7f1026d9a49941eb.png
here,-1,https://emoji.slack-edge.com/T0XNJNF35/here/258b450bb599ea45.png
hi,-1,https://emoji.slack-edge.com/T0XNJNF35/hi/0eabcb45a7afe971.gif
hipster,-1,https://emoji.slack-edge.com/T0XNJNF35/hipster/69fbaafdfb7b0053.gif
hmm,33,https://emoji.slack-edge.com/T0XNJNF35/hmm/6edc0a1b448d742e.png
homer-bush,-1,https://emoji.slack-edge.com/T0XNJNF35/homer-bush/8189fd57c900bcba.gif
homer-so-tasty,-1,https://emoji.slack-edge.com/T0XNJNF35/homer-so-tasty/5b4981bee820c8b6.gif
hopeful,-1,https://emoji.slack-edge.com/T0XNJNF35/hopeful/f66d7d7e68218ce2.png
horus,-1,https://emoji.slack-edge.com/T0XNJNF35/horus/3601f98231b950ab.png
hot-desking,-1,https://emoji.slack-edge.com/T0XNJNF35/hot-desking/5244cdb546369723.png
hot-take,-1,https://emoji.slack-edge.com/T0XNJNF35/hot-take/2b30cc72443f60f6.gif
huh,2,https://emoji.slack-edge.com/T0XNJNF35/huh/63d4a4682107862f.gif
hyped,13,https://emoji.slack-edge.com/T0XNJNF35/hyped/d9679c1b64265609.gif
hyperclap,1,https://emoji.slack-edge.com/T0XNJNF35/hyperclap/487c954c744b896d.gif
i-did-a-thing,-1,https://emoji.slack-edge.com/T0XNJNF35/i-did-a-thing/abf13e92229bd357.jpg
icanrelate,-1,https://emoji.slack-edge.com/T0XNJNF35/icanrelate/3a5b3ca629447b23.png
im-back-goggins,-1,https://emoji.slack-edge.com/T0XNJNF35/im-back-goggins/c6979ed639a8e839.gif
inquisition,-1,https://emoji.slack-edge.com/T0XNJNF35/inquisition/53be8cb1cb48ef50.png
isitme,-1,https://emoji.slack-edge.com/T0XNJNF35/isitme/4d61ebcdf1bf1eca.png
itme,2,https://emoji.slack-edge.com/T0XNJNF35/itme/d23da17aac4b9bb0.png
jack-yes,55,https://emoji.slack-edge.com/T0XNJNF35/jack-yes/6d1ceb6efe98d71b.gif
jackie-chan,-1,https://emoji.slack-edge.com/T0XNJNF35/jackie-chan/011f2663e5144f46.png
jammin-cheese,-1,https://emoji.slack-edge.com/T0XNJNF35/jammin-cheese/e5d6623715d3ca7f.gif
javert,-1,https://emoji.slack-edge.com/T0XNJNF35/javert/cc42dd4a53573c59.gif
